TimeSeconds,parsedDate,dateTimeStr,ipLayerProtocol,ipLayerProtocolCode,firstSeenSrcIp,firstSeenDestIp,firstSeenSrcPort,firstSeenDestPort,moreFragments,contFragments,durationSeconds,firstSeenSrcPayloadBytes,firstSeenDestPayloadBytes,firstSeenSrcTotalBytes,firstSeenDestTotalBytes,firstSeenSrcPacketCount,firstSeenDestPacketCount,recordForceOut
1365905521.762639,2013-04-14 02:12:01,20130411003154.758,6,TCP,10.170.32.110,172.20.0.4,50371,80,0,0,0,188,49559,1384,51619,22,38,0
1365905522.156379,2013-04-14 02:12:02,20130411003155.16,6,TCP,10.77.101.2,172.30.0.4,59002,80,0,0,0,187,4480,519,4812,6,6,0
1365905522.527077,2013-04-14 02:12:02,20130411003155.53,6,TCP,10.88.52.24,172.10.0.3,58959,25,0,0,10,1299,576,1901,1124,11,10,0
1365905522.68727,2013-04-14 02:12:02,20130411003155.688,6,TCP,10.18.37.65,172.10.0.3,50342,25,0,0,10,1299,577,1901,1125,11,10,0
1365905523.7628293,2013-04-14 02:12:03,20130411003156.76,6,TCP,10.138.121.19,172.20.0.15,50375,80,0,0,0,188,49560,1384,51620,22,38,0
1365905524.531736,2013-04-14 02:12:04,20130411003157.53,6,TCP,10.13.77.4,172.20.0.3,58972,25,0,0,10,1299,576,1901,1124,11,10,0
1365905524.1691847,2013-04-14 02:12:04,20130411003157.168,6,TCP,10.77.101.2,172.30.0.4,59007,80,0,0,0,195,43145,1283,44989,20,34,0
1365905526.167613,2013-04-14 02:12:06,20130411003159.168,6,TCP,10.77.101.2,172.30.0.4,59010,80,0,0,0,197,5039,529,5371,6,6,0
1365905526.9898627,2013-04-14 02:12:06,20130411003159.99,17,UDP,172.10.0.40,172.255.255.255,137,137,0,0,0,100,0,184,0,2,0,0
1365905528.1990807,2013-04-14 02:12:08,20130411003201.2,6,TCP,10.77.101.2,172.30.0.4,59014,80,0,0,0,197,5052,529,5384,6,6,0
1365905530.209579,2013-04-14 02:12:10,20130411003203.207,6,TCP,10.77.101.2,172.30.0.4,59021,80,0,0,0,197,12073,691,12675,9,11,0
1365905531.383109,2013-04-14 02:12:11,20130411003204.383,6,TCP,10.0.3.77,172.30.0.4,59024,80,0,0,0,187,4480,519,4812,6,6,0
1365905532.214325,2013-04-14 02:12:12,20130411003205.21,6,TCP,10.77.101.2,172.30.0.4,59029,80,0,0,0,193,6130,579,6516,7,7,0
1365905533.384953,2013-04-14 02:12:13,20130411003206.387,6,TCP,10.0.3.77,172.30.0.4,59032,80,0,0,0,195,43145,1283,44989,20,34,0
1365905534.2131321,2013-04-14 02:12:14,20130411003207.21,6,TCP,10.77.101.2,172.30.0.4,59037,80,0,0,0,194,12113,688,12715,9,11,0
1365905535.3809679,2013-04-14 02:12:15,20130411003208.38,6,TCP,10.0.3.77,172.30.0.4,59040,80,0,0,0,197,5039,529,5371,6,6,0
1365905536.210459,2013-04-14 02:12:16,20130411003209.21,6,TCP,10.77.101.2,172.30.0.4,59046,80,0,0,0,193,6318,579,6704,7,7,0
1365905537.386075,2013-04-14 02:12:17,20130411003210.383,6,TCP,10.0.3.77,172.30.0.4,59049,80,0,0,0,197,5052,529,5384,6,6,0
1365905538.2106302,2013-04-14 02:12:18,20130411003211.207,6,TCP,10.77.101.2,172.30.0.4,59056,80,0,0,0,198,7132,584,7572,7,8,0
1365905539.2618847,2013-04-14 02:12:19,20130411003212.258,17,UDP,172.20.0.6,224.0.0.252,49152,5355,0,0,0,48,0,132,0,2,0,0
1365905539.419036,2013-04-14 02:12:19,20130411003212.414,6,TCP,10.0.3.77,172.30.0.4,59059,80,0,0,0,197,12073,745,12675,10,11,0
1365905539.618466,2013-04-14 02:12:19,20130411003212.613,6,TCP,10.0.125.6,172.10.0.3,59018,25,0,0,10,1299,576,1901,1124,11,10,0
1365905540.964983,2013-04-14 02:12:20,20130411003213.965,17,UDP,172.20.0.6,172.255.255.255,137,137,0,0,1,150,0,276,0,3,0,0
1365905541.428628,2013-04-14 02:12:21,20130411003214.43,6,TCP,10.0.3.77,172.30.0.4,59064,80,0,0,0,193,6130,579,6516,7,7,0
1365905543.566803,2013-04-14 02:12:23,20130411003216.57,17,UDP,172.20.0.7,224.0.0.252,56880,5355,0,0,0,48,0,132,0,2,0,0
1365905543.4490573,2013-04-14 02:12:23,20130411003216.45,6,TCP,10.0.3.77,172.30.0.4,59069,80,0,0,0,194,12113,742,12715,10,11,0
1365905544.59159,2013-04-14 02:12:24,20130411003217.594,6,TCP,10.58.99.97,172.30.0.7,50390,80,0,0,0,170,297,448,467,5,3,0
1365905545.269972,2013-04-14 02:12:25,20130411003218.27,17,UDP,172.20.0.7,172.255.255.255,137,137,0,0,1,150,0,276,0,3,0,0
1365905545.4609387,2013-04-14 02:12:25,20130411003218.46,6,TCP,10.0.3.77,172.30.0.4,59074,80,0,0,0,193,6318,579,6704,7,7,0
1365905547.169349,2013-04-14 02:12:27,20130411003220.168,17,UDP,172.20.0.5,224.0.0.252,53831,5355,0,0,0,48,0,132,0,2,0,0
1365905547.4409301,2013-04-14 02:12:27,20130411003220.44,17,UDP,172.20.0.8,224.0.0.252,52868,5355,0,0,0,48,0,132,0,2,0,0
1365905547.603388,2013-04-14 02:12:27,20130411003220.61,6,TCP,10.32.42.116,172.10.0.3,59052,25,0,0,10,1299,576,1901,1124,11,10,0
1365905547.4587927,2013-04-14 02:12:27,20130411003220.453,6,TCP,10.0.3.77,172.30.0.4,59079,80,0,0,0,198,7132,584,7572,7,8,0
1365905548.825334,2013-04-14 02:12:28,20130411003221.824,6,TCP,10.13.77.4,172.10.0.3,50378,25,0,0,10,1299,576,1901,1124,11,10,0
1365905548.872444,2013-04-14 02:12:28,20130411003221.87,17,UDP,172.20.0.5,172.255.255.255,137,137,0,0,1,150,0,276,0,3,0,0
1365905549.14375,2013-04-14 02:12:29,20130411003222.145,17,UDP,172.20.0.8,172.255.255.255,137,137,0,0,1,150,0,276,0,3,0,0
1365905551.557363,2013-04-14 02:12:31,20130411003224.56,6,TCP,10.27.200.49,172.20.0.3,50384,25,0,0,10,1299,577,1901,1125,11,10,0
1365905560.287935,2013-04-14 02:12:40,20130411003233.28,6,TCP,10.77.101.2,172.30.0.3,59083,25,0,0,10,1299,577,1901,1125,11,10,0
1365905560.288265,2013-04-14 02:12:40,20130411003233.28,6,TCP,10.18.37.65,172.30.0.3,59086,25,0,0,10,1299,577,1901,1125,11,10,0
1365905568.6209047,2013-04-14 02:12:48,20130411003241.62,6,TCP,10.58.99.97,172.10.0.3,50403,25,0,0,10,1299,577,1901,1125,11,10,0
1365905572.306427,2013-04-14 02:12:52,20130411003245.305,6,TCP,10.27.200.49,172.30.0.3,59106,25,0,0,10,1299,577,1901,1125,11,10,0
1365905577.806543,2013-04-14 02:12:57,20130411003250.81,1,OTHER,172.10.0.6,172.10.1.203,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.807757,2013-04-14 02:12:57,20130411003250.81,1,OTHER,172.10.0.6,172.10.1.211,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.780519,2013-04-14 02:12:57,20130411003250.777,1,OTHER,172.10.0.6,172.10.1.204,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.7958627,2013-04-14 02:12:57,20130411003250.793,1,OTHER,172.10.0.6,172.10.1.207,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.800286,2013-04-14 02:12:57,20130411003250.805,1,OTHER,172.10.0.6,172.10.1.206,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.779394,2013-04-14 02:12:57,20130411003250.777,1,OTHER,172.10.0.6,172.10.1.201,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.806169,2013-04-14 02:12:57,20130411003250.81,1,OTHER,172.10.0.6,172.10.1.209,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.8058207,2013-04-14 02:12:57,20130411003250.805,1,OTHER,172.10.0.6,172.10.1.202,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.804516,2013-04-14 02:12:57,20130411003250.805,1,OTHER,172.10.0.6,172.10.1.205,0,0,0,0,0,0,0,74,0,1,0,0
1365905577.8069026,2013-04-14 02:12:57,20130411003250.81,1,OTHER,172.10.0.6,172.10.1.210,0,0,0,0,0,0,0,74,0,1,0,0
1365905578.447017,2013-04-14 02:12:58,20130411003251.45,6,TCP,10.18.37.65,172.30.0.4,50415,80,0,0,0,187,4480,519,4812,6,6,0
1365905580.458837,2013-04-14 02:13:00,20130411003253.457,6,TCP,10.18.37.65,172.30.0.4,50418,80,0,0,0,195,43145,1283,44989,20,34,0
1365905582.475676,2013-04-14 02:13:02,20130411003255.477,6,TCP,10.18.37.65,172.30.0.4,50422,80,0,0,0,197,5039,529,5371,6,6,0
1365905584.486726,2013-04-14 02:13:04,20130411003257.49,6,TCP,10.18.37.65,172.30.0.4,50428,80,0,0,0,197,5052,529,5384,6,6,0
1365905584.55137,2013-04-14 02:13:04,20130411003257.55,6,TCP,10.149.59.54,172.30.0.3,59119,25,0,0,10,1299,576,1901,1124,11,10,0
1365905586.574054,2013-04-14 02:13:06,20130411003259.57,6,TCP,10.170.148.52,172.20.0.3,59122,25,0,0,10,1299,576,1901,1124,11,10,0
1365905586.4871259,2013-04-14 02:13:06,20130411003259.492,6,TCP,10.18.37.65,172.30.0.4,50435,80,0,0,0,197,12073,691,12675,9,11,0
1365905587.458236,2013-04-14 02:13:07,20130411003300.453,6,TCP,10.1.55.43,172.30.0.4,50442,80,0,0,0,177,4480,509,4812,6,6,0
1365905588.4867613,2013-04-14 02:13:08,20130411003301.49,6,TCP,10.18.37.65,172.30.0.4,50447,80,0,0,0,193,6130,579,6516,7,7,0
1365905589.4611373,2013-04-14 02:13:09,20130411003302.46,6,TCP,10.1.55.43,172.30.0.4,50454,80,0,0,0,195,43145,1283,44989,20,34,0
1365905590.289508,2013-04-14 02:13:10,20130411003303.29,6,TCP,10.83.101.25,172.20.0.3,59132,25,0,0,10,1299,577,1901,1125,11,10,0
1365905590.488346,2013-04-14 02:13:10,20130411003303.49,6,TCP,10.18.37.65,172.30.0.4,50460,80,0,0,0,194,12113,688,12715,9,11,0
1365905590.44767,2013-04-14 02:13:10,20130411003303.45,6,TCP,10.170.32.239,172.30.0.4,59160,80,0,0,0,189,3177,521,3455,6,5,0
1365905591.455985,2013-04-14 02:13:11,20130411003304.453,6,TCP,10.1.55.43,172.30.0.4,50466,80,0,0,0,197,5039,529,5371,6,6,0
1365905592.456499,2013-04-14 02:13:12,20130411003305.457,6,TCP,10.170.32.239,172.30.0.4,59165,80,0,0,0,195,43145,1283,44989,20,34,0
1365905592.485405,2013-04-14 02:13:12,20130411003305.484,6,TCP,10.18.37.65,172.30.0.4,50471,80,0,0,0,193,6318,579,6704,7,7,0
1365905593.8341599,2013-04-14 02:13:13,20130411003306.836,6,TCP,10.13.77.4,172.20.0.3,50425,25,0,0,10,1299,576,1901,1124,11,10,0
1365905593.454731,2013-04-14 02:13:13,20130411003306.453,6,TCP,10.1.55.43,172.30.0.4,50477,80,0,0,0,197,5052,529,5384,6,6,0
1365905594.4850993,2013-04-14 02:13:14,20130411003307.48,6,TCP,10.18.37.65,172.30.0.4,50482,80,0,0,0,198,7132,584,7572,7,8,0
1365905595.477922,2013-04-14 02:13:15,20130411003308.48,6,TCP,10.1.55.43,172.30.0.4,50485,80,0,0,0,197,12073,745,12675,10,11,0
1365905596.893022,2013-04-14 02:13:16,20130411003309.89,6,TCP,10.0.3.77,172.20.0.3,50438,25,0,0,10,1299,576,1901,1124,11,10,0
1365905597.4847653,2013-04-14 02:13:17,20130411003310.49,6,TCP,10.1.55.43,172.30.0.4,50492,80,0,0,0,193,6130,579,6516,7,7,0
1365905597.290087,2013-04-14 02:13:17,20130411003310.29,6,TCP,10.18.37.65,172.20.0.3,59152,25,0,0,10,1299,577,1901,1125,11,10,0
1365905599.647001,2013-04-14 02:13:19,20130411003312.645,6,TCP,10.83.101.25,172.30.0.3,50453,25,0,0,10,1299,577,1901,1125,11,10,0
1365905599.486819,2013-04-14 02:13:19,20130411003312.49,6,TCP,10.1.55.43,172.30.0.4,50500,80,0,0,0,194,12113,688,12715,9,11,0
1365905601.4844847,2013-04-14 02:13:21,20130411003314.484,6,TCP,10.1.55.43,172.30.0.4,50505,80,0,0,0,193,6318,579,6704,7,7,0
1365905603.483752,2013-04-14 02:13:23,20130411003316.484,6,TCP,10.1.55.43,172.30.0.4,50510,80,0,0,0,198,7132,584,7572,7,8,0
1365905608.885157,2013-04-14 02:13:28,20130411003321.887,6,TCP,10.89.101.53,172.10.0.3,50496,25,0,0,10,1299,576,1901,1124,11,10,0
1365905609.2120967,2013-04-14 02:13:29,20130411003322.207,17,UDP,172.20.0.15,224.0.0.252,64489,5355,0,0,0,48,0,132,0,2,0,0
1365905613.1648118,2013-04-14 02:13:33,20130411003326.16,17,UDP,172.20.0.15,172.255.255.255,137,137,0,0,3,300,0,552,0,6,0,0
1365905617.821685,2013-04-14 02:13:37,20130411003330.82,17,UDP,172.10.0.3,172.255.255.255,138,138,0,0,0,201,0,243,0,1,0,0
1365905620.6453333,2013-04-14 02:13:40,20130411003333.645,6,TCP,10.27.200.49,172.30.0.3,50517,25,0,0,10,1299,577,1901,1125,11,10,0
1365905621.568718,2013-04-14 02:13:41,20130411003334.566,6,TCP,10.38.37.13,172.20.0.3,59172,25,0,0,10,1299,576,1901,1124,11,10,0
1365905622.9216967,2013-04-14 02:13:42,20130411003335.92,17,UDP,172.10.0.50,172.255.255.255,137,137,0,0,0,50,0,92,0,1,0,0
1365905622.39082,2013-04-14 02:13:42,20130411003335.39,6,TCP,10.0.3.178,172.30.0.4,59195,80,0,0,0,187,4480,519,4812,6,6,0
1365905622.760493,2013-04-14 02:13:42,20130411003335.758,1,OTHER,172.10.0.6,172.10.2.109,0,0,0,0,0,0,0,74,0,1,0,0
1365905624.4277642,2013-04-14 02:13:44,20130411003337.426,6,TCP,10.0.3.178,172.30.0.4,59202,80,0,0,0,195,43145,1283,44989,20,34,0
1365905626.4333947,2013-04-14 02:13:46,20130411003339.44,6,TCP,10.0.3.178,172.30.0.4,59212,80,0,0,0,197,5039,529,5371,6,6,0
1365905628.44026,2013-04-14 02:13:48,20130411003341.44,6,TCP,10.0.3.178,172.30.0.4,59222,80,0,0,0,197,5052,529,5384,6,6,0
1365905628.237518,2013-04-14 02:13:48,20130411003341.242,6,TCP,10.43.51.79,172.30.0.3,59182,25,0,0,10,1299,577,1901,1125,11,10,0
1365905630.45073,2013-04-14 02:13:50,20130411003343.45,6,TCP,10.0.3.178,172.30.0.4,59232,80,0,0,0,197,12073,691,12675,9,11,0
1365905630.53385,2013-04-14 02:13:50,20130411003343.535,6,TCP,10.117.23.212,172.30.0.3,59190,25,0,0,10,1299,576,1901,1124,11,10,0
1365905632.448499,2013-04-14 02:13:52,20130411003345.445,6,TCP,10.0.3.178,172.30.0.4,59239,80,0,0,0,193,6130,579,6516,7,7,0
1365905634.4490561,2013-04-14 02:13:54,20130411003347.453,6,TCP,10.0.3.178,172.30.0.4,59246,80,0,0,0,194,12113,688,12715,9,11,0
1365905635.347832,2013-04-14 02:13:55,20130411003348.348,6,TCP,10.1.55.43,172.20.0.3,59209,25,0,0,10,1299,577,1901,1125,11,10,0
1365905636.449948,2013-04-14 02:13:56,20130411003349.445,6,TCP,10.0.3.178,172.30.0.4,59255,80,0,0,0,193,6318,579,6704,7,7,0
1365905636.116714,2013-04-14 02:13:56,20130411003349.12,17,UDP,172.0.0.1,255.255.255.255,123,123,1,1,1746,1344,0,2520,0,28,0,0
1365905638.4506247,2013-04-14 02:13:58,20130411003351.45,6,TCP,10.0.3.178,172.30.0.4,59261,80,0,0,0,198,7132,584,7572,7,8,0
1365905639.281671,2013-04-14 02:13:59,20130411003352.28,6,TCP,10.0.2.181,172.30.0.3,59226,25,0,0,10,1299,577,1901,1125,11,10,0
1365905640.703616,2013-04-14 02:14:00,20130411003353.703,6,TCP,10.175.195.108,172.30.0.7,50542,80,0,0,0,170,297,448,467,5,3,0
1365905645.3000627,2013-04-14 02:14:05,20130411003358.297,6,TCP,10.58.99.97,172.30.0.3,59250,25,0,0,10,1299,577,1901,1125,11,10,0
1365905645.583233,2013-04-14 02:14:05,20130411003358.586,6,TCP,10.83.101.25,172.10.0.3,50530,25,0,0,10,1299,577,1901,1125,11,10,0
1365905647.609017,2013-04-14 02:14:07,20130411003400.605,6,TCP,10.43.51.79,172.20.0.3,50533,25,0,0,10,1299,577,1901,1125,11,10,0
1365905650.8915093,2013-04-14 02:14:10,20130411003403.887,6,TCP,10.249.28.136,172.20.0.3,50544,25,0,0,10,1299,576,1901,1124,11,10,0
1365905652.1749153,2013-04-14 02:14:12,20130411003405.17,6,TCP,10.1.55.43,172.10.0.4,59277,80,0,0,0,177,7129,563,7569,7,8,0
1365905652.487188,2013-04-14 02:14:12,20130411003405.49,17,UDP,172.10.0.40,172.255.255.255,138,138,0,0,0,201,0,243,0,1,0,0
1365905654.2068481,2013-04-14 02:14:14,20130411003407.203,6,TCP,10.1.55.43,172.10.0.4,59282,80,0,0,0,192,25594,956,26736,14,21,0
1365905656.228085,2013-04-14 02:14:16,20130411003409.23,6,TCP,10.1.55.43,172.10.0.4,59287,80,0,0,0,191,109790,2629,114226,45,82,0
1365905658.248554,2013-04-14 02:14:18,20130411003411.246,6,TCP,10.1.55.43,172.10.0.4,59292,80,0,0,0,187,148291,3597,154293,63,111,0
1365905659.363333,2013-04-14 02:14:19,20130411003412.363,6,TCP,10.77.101.2,172.20.0.3,59271,25,0,0,11,1299,577,1901,1179,11,11,0
1365905660.1597047,2013-04-14 02:14:20,20130411003413.16,6,TCP,10.43.51.79,172.20.0.5,59294,80,0,0,0,170,340,448,510,5,3,0
1365905660.247042,2013-04-14 02:14:20,20130411003413.25,6,TCP,10.1.55.43,172.10.0.4,59296,80,0,0,0,188,49559,1384,51619,22,38,0
1365905662.246474,2013-04-14 02:14:22,20130411003415.246,6,TCP,10.1.55.43,172.10.0.4,59300,80,0,0,0,188,49559,1546,51619,25,38,0
1365905663.577218,2013-04-14 02:14:23,20130411003416.574,6,TCP,10.18.37.65,172.20.0.3,50566,25,0,0,10,1299,577,1901,1125,11,10,0
1365905664.246984,2013-04-14 02:14:24,20130411003417.246,6,TCP,10.1.55.43,172.10.0.4,59306,80,0,0,0,188,49559,1384,51619,22,38,0
1365905665.87484,2013-04-14 02:14:25,20130411003418.875,6,TCP,10.38.37.13,172.20.0.3,50572,25,0,0,10,1299,576,1901,1178,11,11,0
1365905666.250582,2013-04-14 02:14:26,20130411003419.246,6,TCP,10.1.55.43,172.10.0.4,59313,80,0,0,0,188,49559,1384,51619,22,38,0
1365905668.833542,2013-04-14 02:14:28,20130411003421.836,6,TCP,10.51.88.167,172.30.0.3,50580,25,0,0,10,1299,576,1901,1124,11,10,0
1365905673.516874,2013-04-14 02:14:33,20130411003426.523,6,TCP,10.13.77.4,172.30.0.3,59303,25,0,0,10,1299,576,1901,1124,11,10,0
1365905673.3690438,2013-04-14 02:14:33,20130411003426.367,17,UDP,172.10.0.50,172.255.255.255,138,138,0,0,0,201,0,243,0,1,0,0
1365905676.69341,2013-04-14 02:14:36,20130411003429.69,6,TCP,10.138.78.210,172.30.0.6,50608,80,0,0,0,170,297,448,467,5,3,0
1365905678.3770213,2013-04-14 02:14:38,20130411003431.375,6,TCP,10.0.2.181,172.10.0.3,59317,25,0,0,10,1299,577,1901,1179,11,11,0
1365905678.362361,2013-04-14 02:14:38,20130411003431.36,6,TCP,10.27.200.49,172.20.0.3,59320,25,0,0,10,1299,577,1901,1125,11,10,0
1365905680.642934,2013-04-14 02:14:40,20130411003433.637,6,TCP,10.77.24.4,172.30.0.3,50602,25,0,0,10,1299,577,1901,1125,11,10,0
1365905688.484768,2013-04-14 02:14:48,20130411003441.484,6,TCP,10.77.101.2,172.30.0.5,50621,80,0,0,0,170,297,448,467,5,3,0
1365905688.327127,2013-04-14 02:14:48,20130411003441.33,6,TCP,10.62.15.101,172.10.0.3,59344,25,0,0,10,1299,577,1901,1125,11,10,0
1365905691.380228,2013-04-14 02:14:51,20130411003444.38,17,UDP,172.20.0.3,172.255.255.255,138,138,0,0,0,201,0,243,0,1,0,0
1365905693.874809,2013-04-14 02:14:53,20130411003446.875,6,TCP,10.51.88.253,172.30.0.3,50615,25,0,0,10,1299,576,1901,1124,11,10,0
1365905701.327467,2013-04-14 02:15:01,20130411003454.332,6,TCP,10.62.15.101,172.20.0.3,59356,25,0,0,10,1299,577,1901,1125,11,10,0
1365905719.577943,2013-04-14 02:15:19,20130411003512.58,6,TCP,10.18.37.65,172.30.0.3,50632,25,0,0,10,1299,577,1901,1125,11,10,0
1365905719.625916,2013-04-14 02:15:19,20130411003512.625,6,TCP,10.27.200.49,172.10.0.3,50629,25,0,0,10,1299,577,1901,1125,11,10,0
1365905722.7486901,2013-04-14 02:15:22,20130411003515.746,6,TCP,10.12.237.111,172.30.0.3,50641,25,0,0,10,1299,576,1901,1124,11,10,0
1365905723.652842,2013-04-14 02:15:23,20130411003516.645,6,TCP,10.0.2.181,172.20.0.3,50644,25,0,0,10,1299,577,1901,1179,11,11,0
1365905725.839865,2013-04-14 02:15:25,20130411003518.844,6,TCP,10.57.105.44,172.20.0.3,50656,25,0,0,10,1299,576,1901,1124,11,10,0
1365905731.608248,2013-04-14 02:15:31,20130411003524.61,6,TCP,10.1.55.43,172.30.0.3,50681,25,0,0,10,1299,577,1901,1125,11,10,0
1365905733.6055133,2013-04-14 02:15:33,20130411003526.6,6,TCP,10.83.101.25,172.20.0.3,50691,25,0,0,10,1299,577,1901,1125,11,10,0
1365905735.811942,2013-04-14 02:15:35,20130411003528.805,6,TCP,10.88.25.4,172.10.0.3,50701,25,0,0,10,1299,576,1901,1124,11,10,0
1365905735.279052,2013-04-14 02:15:35,20130411003528.28,6,TCP,10.62.15.101,172.30.0.3,59368,25,0,0,10,1299,577,1901,1125,11,10,0
1365905740.823202,2013-04-14 02:15:40,20130411003533.824,6,TCP,10.38.37.229,172.20.0.3,50717,25,0,0,10,1299,576,1901,1124,11,10,0
1365905746.1315267,2013-04-14 02:15:46,20130411003539.13,6,TCP,10.0.2.181,172.10.0.4,59386,80,0,0,0,186,10887,626,11435,8,10,0
1365905748.142807,2013-04-14 02:15:48,20130411003541.14,6,TCP,10.0.2.181,172.10.0.4,59391,80,0,0,0,192,25594,956,26736,14,21,0
1365905752.2953293,2013-04-14 02:15:52,20130411003545.293,6,TCP,10.43.51.79,172.20.0.3,59380,25,0,0,10,1299,577,1901,1125,11,10,0
1365905760.6684759,2013-04-14 02:16:00,20130411003553.664,6,TCP,10.76.187.177,172.20.0.15,50740,80,0,0,0,190,7426,576,7866,7,8,0
1365905762.6787019,2013-04-14 02:16:02,20130411003555.68,6,TCP,10.78.100.150,172.20.0.4,50745,80,0,0,0,192,25594,956,26736,14,21,0
1365905769.636525,2013-04-14 02:16:09,20130411003602.64,6,TCP,10.1.55.43,172.10.0.3,50737,25,0,0,10,1299,577,1901,1125,11,10,0
1365905771.293759,2013-04-14 02:16:11,20130411003604.293,6,TCP,10.83.101.25,172.30.0.3,59398,25,0,0,10,1299,577,1901,1125,11,10,0
1365905776.274502,2013-04-14 02:16:16,20130411003609.277,6,TCP,10.1.55.43,172.10.0.3,59406,25,0,0,10,1299,577,1901,1125,11,10,0
1365905784.000349,2013-04-14 02:16:24,20130411003617.0,17,UDP,172.20.0.2,172.255.255.255,138,138,0,0,0,201,0,243,0,1,0,0
1365905786.592116,2013-04-14 02:16:26,20130411003619.59,6,TCP,10.77.24.4,172.10.0.3,50758,25,0,0,10,1299,577,1901,1125,11,10,0
